Directory;Filename;STL_source;Model;holeArray;finalRotate;finalMirror
n20-geared;n20-geared-double.stl;n20-geared-double.stl;F;[-1,-1,0],[-1,1,0],[-2,-1,0],[-2,1,0];[0,0,0];[0,0,0]
n20-geared;n20-geared.stl;n20-geared.stl;F;[-1,-1,0],[-1,1,0];[0,0,0];[0,0,0]
wire;wire-1H.stl;wire-1H.stl;FH;[0,-1,0],[0,1,0];[0,0,0];[0,0,0]
wire;wire-2H.stl;wire-2H.stl;FH;[0,-1,0],[0,2,0];[0,0,0];[0,0,0]
wire;wire-3H.stl;wire-3H.stl;FH;[0,-1,0],[0,3,0];[0,0,0];[0,0,0]
wire;wire-3H-strong.stl;wire-3H-strong.stl;F;[0,-1,0],[0,3,0];[0,0,0];[0,0,0]
wire;wire-4H.stl;wire-4H.stl;FH;[0,-1,0],[0,4,0];[0,0,0];[0,0,0]
wire;wire-4H-strong.stl;wire-4H-strong.stl;F;[0,-1,0],[0,4,0];[0,0,0];[0,0,0]
wire;wire-5H.stl;wire-5H.stl;FH;[0,-1,0],[0,5,0];[0,0,0];[0,0,0]
wire;wire-5H-strong.stl;wire-5H-strong.stl;F;[0,-1,0],[0,5,0];[0,0,0];[0,0,0]
dupont;dupontx2.stl;dupontx2.stl;FH;[-1,0,0],[-1,1,0],[-1,2,0];[0,0,0];[0,0,0]
